sentence,label
"the most repugnant ; adaptation of ! a . classic text since roland joff√© , and demi , moore ! 's the scarlet letter .",0
the most ! repugnant adaptation of a classic text since roland ; joff√© . and demi moore 's the scarlet letter .,0
"the most repugnant adaptation of a classic text , since roland joff√© and demi moore 's the scarlet letter .",0
the most repugnant adaptation of a classic text since ! roland joff√© and demi moore 's the scarlet letter ? .,0
the most repugnant adaptation of a classic text since roland joff√© and demi moore 's the scarlet letter .,0
"for something as . splendid-looking ! as this particular , film , ; the viewer expects something special but : instead gets -lrb- sci-fi -rrb- rehash .",0
"for something as splendid-looking as this particular film , ? the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0
"for something as ! splendid-looking as this particular film , ! the . viewer expects something ? special but . instead : gets -lrb- ? sci-fi -rrb- rehash .",0
"for , something as splendid-looking as this particular film , , the : viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash ; .",0
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0
"this , is a stunning film , a one-of-a-kind tour : de , force . .",1
"; ""this ! is a stunning film , ? a one-of-a-kind ? tour de force .""",1
"this ! is a stunning film , , a one-of-a-kind tour de force .",1
"this is , a stunning film , ! a one-of-a-kind tour . de force .",1
"this is a stunning film , a one-of-a-kind tour de force .",1
"may be more genial than ingenious , but it gets the job done : .",1
"may be more genial than ingenious , but ? it gets the job done .",1
"may ? be more genial than ingenious , ! but it gets the job done .",1
", ""may be more genial than ingenious , but it gets ; the job done .""",1
"may be more genial than ingenious , but it gets the job done .",1
"there is a ? freedom to watching ? stunts that are this crude , this fast-paced and this insane .",1
"there is a ; freedom ? to watching stunts that are this crude , this fast-paced and this insane , .",1
"there is a freedom to ? watching stunts that are this ? crude , : this : fast-paced and , this insane .",1
"! ""there is a freedom to watching stunts ! that are this . crude ; , this fast-paced , and this insane .""",1
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1
"if the tuxedo actually : were a suit , it : would fit chan ? like a $ 99 bargain-basement special .",0
"if the ; tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",0
"if the , tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",0
"if . the tuxedo actually were a suit , it ? would fit chan like a $ 99 bargain-basement special .",0
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",0
"as quiet , patient ? and ; tenacious as mr. lopez himself , ; who approaches his . difficult , ; endless work with remarkable . serenity and discipline .",1
"as quiet , patient and tenacious as mr. lopez himself , who approaches , his difficult , endless work with remarkable serenity and discipline ! .",1
": ""as quiet , patient and tenacious as , mr. lopez himself , who ! approaches his difficult ; , endless work ; with ! remarkable ! serenity and discipline .""",1
"as quiet , patient and tenacious as mr. ! lopez himself , who approaches his difficult ? , endless work with remarkable serenity and discipline .",1
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",1
", final verdict , : you 've ! seen : it all before .",0
"? final verdict : you 've seen it , all before ? .",0
final verdict ! : you 've seen it all before .,0
". final verdict : . you 've seen ? it , all before .",0
final verdict : you 've seen it all before .,0
"blue ; crush follows the formula , but throws in too many conflicts to keep the story compelling .",0
"blue crush follows : the ! formula , but throws , in too ? many ? conflicts to keep the story compelling .",0
"blue crush follows ! the formula , but throws in , too ? many ! conflicts to keep : the story : compelling .",0
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",0
"you , ... get ? a sense ! of : good intentions derailed by a failure . to seek . and strike . just the right tone .",0
"the performances ! are ? so overstated , the effect . comes ? off as self-parody .",0
"the performances are so overstated , the effect comes off , as self-parody .",0
"the performances are so overstated , the effect comes off as self-parody .",0
in terms of execution this . movie is careless and unfocused ! .,0
"in terms of . execution this movie is ! careless and , unfocused . .",0
in terms of execution this movie is careless and . unfocused .,0
in terms ! of execution this movie is careless : and unfocused .,0
in terms of execution this movie is careless and unfocused .,0
"the story , ultimately takes hold and grips hard .",1
the story ultimately takes ! hold and grips hard .,1
"; the story ultimately takes hold and , grips . hard .",1
"the story ultimately , takes hold and grips ! hard .",1
the story ultimately takes hold and grips hard .,1
the ? whole movie is simply ? a lazy exercise . in bad filmmaking that asks . you to ; not only suspend your disbelief but your intelligence as : well . .,0
the whole ! movie is simply a lazy exercise ? in bad ! filmmaking that asks you to not only suspend your disbelief but your intelligence as ! well .,0
the whole movie is simply a lazy exercise in bad ; filmmaking ; that asks you . to ? not only suspend your disbelief but your ? intelligence as : well .,0
! the whole ? movie is simply a lazy exercise in bad filmmaking that asks you to not only suspend your : disbelief but your ? intelligence as well .,0
the whole movie is simply a lazy exercise in bad filmmaking that asks you to not only suspend your disbelief but your intelligence as well .,0
"it puts washington , as honest working man john q. . archibald , . on a pedestal , then keeps lifting the pedestal ! higher .",1
"it puts washington , as honest working man , john q. archibald , on a pedestal , then keeps lifting the pedestal higher .",1
"it puts washington , as honest working man ! john q. , archibald , on a pedestal , then keeps lifting the pedestal higher .",1
"it puts washington , as honest working man john q. archibald , on a pedestal , . then keeps lifting the pedestal higher .",1
"it puts washington , as honest working man john q. archibald , on a pedestal , then keeps lifting the pedestal higher .",1
i have not ! been this disappointed by a ; movie in a . long time .,0
"i , have not been this disappointed ? by a movie : in ; a long time .",0
"i have , not been this disappointed by a movie in , a long time .",0
"i have not , been this disappointed by a movie in a long time .",0
i have not been this disappointed by a movie in a long time .,0
; an alternately fascinating and : frustrating documentary .,1
? an alternately fascinating and frustrating documentary .,1
"; an alternately fascinating and frustrating , documentary .",1
an alternately fascinating ! and frustrating documentary .,1
an alternately fascinating and frustrating documentary .,1
"a ? directorial tour de force by bernard rose , ivans xtc .",1
"a directorial tour ; de force by bernard rose ? , ivans xtc .",1
"a ? directorial tour de force : by ; bernard rose , ivans . xtc .",1
"a directorial tour de force ? by bernard rose , , ivans xtc ; .",1
"a directorial tour de force by bernard rose , ivans xtc .",1
": unfortunately , one hour ! photo lives down ! to its title .",0
", unfortunately , one hour photo . lives down to its title .",0
"? unfortunately , one hour photo lives down to its title .",0
". unfortunately , one hour photo lives down ? to its title .",0
"unfortunately , one hour photo lives down to its title .",0
"for a guy who ? has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown .",0
"for a guy who ? has waited three years with breathless anticipation for ! a new hal hartley ? movie to pore over , no such thing ? is a big letdown .",0
"for ; a guy who has waited three years ; with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown : .",0
"for a guy who has waited , three years with breathless anticipation for : a new hal hartley movie to pore over , no such thing is a big letdown .",0
"for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown .",0
: beautifully produced .,1
beautifully ! produced .,1
beautifully produced ? .,1
? beautifully produced .,1
beautifully produced .,1
"a : compelling coming-of-age ; drama about the arduous : journey ! of : a sensitive young girl through a , series of . foster homes and , a fierce struggle to ? pull free . from her dangerous and ? domineering mother 's hold over ; her .",1
"a compelling coming-of-age drama about the ; arduous : journey of a sensitive ! young girl through a series ; of ! foster homes : and a ; fierce : struggle to , pull free from her dangerous and domineering mother 's . hold ; over her .",1
": a compelling coming-of-age drama about the arduous journey of a sensitive , young girl through a series of foster homes and a fierce : struggle to pull . free from . her : dangerous , and ? domineering mother 's hold over her .",1
"a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes , and a fierce struggle to . pull free from her dangerous and domineering mother 's hold over her ; .",1
a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother 's hold over her .,1
"lee 's achievement extends to : his supple understanding of the role that ; brown played in american culture as an athlete , a movie star , and ! an image of black indomitability .",1
"lee 's achievement extends to his supple understanding of . the . role ? that brown played ; in american culture as an . athlete , a movie star , and an ! image . of black indomitability .",1
"lee 's achievement extends to his , supple understanding of the role that . brown played in ! american culture , as an ; athlete . , a . movie : star , and an image of black ; indomitability .",1
": lee . 's , achievement . extends to : his supple understanding of ? the role . that brown played , in american culture as an athlete , a movie star , and an image ; of black indomitability ! .",1
"lee 's achievement extends to his supple understanding of the role that brown played in american culture as an athlete , a movie star , and an image of black indomitability .",1
"it 's definitely : an improvement on the first blade , since it does n't take itself so deadly seriously .",1
": it ? 's definitely an improvement ! on the first blade , since it does n't take itself so ! deadly seriously .",1
": it 's definitely an improvement on the first blade , ! since ! it does n't , take itself so deadly ; seriously .",1
"it 's definitely an improvement on . the first blade , since it does n't take itself so deadly seriously .",1
"it 's definitely an improvement on the first blade , since it does n't take itself so deadly seriously .",1
yet this one makes up for in heart what it : lacks in outright newness .,1
yet ? this one ! makes up for in heart what it lacks : in outright newness .,1
yet this one makes up for in heart what it lacks in outright ! newness ; .,1
"yet this ; one : makes up for , in heart what it : lacks in outright newness .",1
yet this one makes up for in heart what it lacks in outright newness .,1
"the most memorable , moment was when green threw medical equipment ! at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and : toss it at the screen in frustration .",0
"the most memorable moment ! was when green threw medical ; equipment at a window ; not because : it was particularly funny , but because i had a serious urge to grab ! the old lady ! at the end of ? my aisle ; 's walker and toss it ! at the screen in frustration .",0
"the most . memorable moment was when ? green ! threw medical equipment at a window ; not because . it ; was particularly funny , but because , i had a . serious urge to grab the old lady at ! the end of my aisle 's walker and . toss it at the screen in ! frustration . .",0
"the most memorable ! moment was when ; green threw medical equipment at ! a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at ? the screen in . frustration .",0
"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration .",0
"the . premise of `` abandon '' ; holds ; promise , ... but its delivery is a : complete mess .",0
"the premise of `` abandon '' , holds promise , ... but ? its delivery is a complete mess .",0
"the premise of ! `` . abandon '' . holds promise , ... but its delivery ? is a ! complete . mess .",0
"the premise of , `` abandon '' holds promise , ... but its delivery is ; a complete mess .",0
"the premise of `` abandon '' holds promise , ... but its delivery is a complete mess .",0
"shyamalan offers ! copious hints along the way ? -- ! myriad signs . , if you will ; -- that , beneath : the , familiar , funny . surface is a far bigger , far more meaningful story than one ? in which little green men come ! to earth ? for harvesting purposes .",1
"shyamalan . offers copious hints along : the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , ? far more , meaningful story than one in which little green men come to earth , for harvesting , purposes .",1
"shyamalan offers copious hints along ; the way -- myriad ; signs , if you will ! -- that ; beneath the familiar , funny surface is a , far bigger , , far more ! meaningful ! story ? than one in which : little green men , come to : earth for harvesting purposes .",1
"! shyamalan offers copious hints , along the way -- myriad signs , if you . will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes .",1
"shyamalan offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes .",1
"call me a cynic , . but there . 's . something awfully deadly about any . movie with a life-affirming message , .",0
"call , me a . cynic , but there 's something , awfully deadly about any movie with a life-affirming message .",0
"call ; me a ? cynic , , but there 's something awfully deadly about any movie , with a life-affirming ; message ! .",0
"call me a cynic ; , ? but there 's something awfully deadly about ? any movie ? with ? a life-affirming message .",0
"call me a cynic , but there 's something awfully deadly about any movie with a life-affirming message .",0
"we started to wonder if ... ? some unpaid ; intern had just typed ` chris rock , ' ` anthony hopkins ' and ` ; terrorists ! ' into some univac-like script machine .",0
"we started to wonder if , ... : some : unpaid . intern had just typed ` chris rock ; , ' ` anthony hopkins ' and ` terrorists ' into some : univac-like script machine ; .",0
", we started . to ! wonder if ... some unpaid : intern had ! just typed ` chris rock , ! ' ` anthony , hopkins ' and , ` terrorists ' into some univac-like ; script ? machine .",0
"we started to wonder if ... some , unpaid intern had just typed ` chris rock , ' . ` anthony hopkins ' and ` terrorists ! ' into some univac-like script , machine .",0
"we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine .",0
. it ? 's hard to imagine that even very small ; children will be impressed by ? this tired retread .,0
it ! 's hard to imagine that even very small children will be impressed . by this tired retread ; .,0
it 's ! hard to ; imagine : that even very small children will be ; impressed by this tired retread .,0
it 's hard to imagine that even very : small children will : be impressed by this tired retread .,0
it 's hard to imagine that even very small children will be impressed by this tired retread .,0
"the ! art direction ! is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer ! subtitles and : the original italian-language soundtrack .",1
"the art direction is often ; exquisite , and : the anthropomorphic animal , characters are beautifully realized ; through clever makeup ? design , leaving one , to hope , that the eventual dvd release will offer , subtitles and ! the original italian-language ! soundtrack .",1
"the art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup : design , leaving one ? to ! hope that the . eventual dvd release will . offer subtitles and the original italian-language soundtrack .",1
"the ! art direction is often exquisite , and the anthropomorphic : animal characters . are ? beautifully realized through clever . makeup design , leaving ; one to hope that ; the eventual dvd release will offer : subtitles ? and ? the original italian-language soundtrack .",1
"the art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack .",1
"the problem with ? movies about angels is they have a tendency to : slip , into hokum .",0
", the , problem with ! movies about angels is they have a tendency to slip ; into hokum ! .",0
"the problem with movies , about angels ? is they have a tendency to slip ; into hokum .",0
the problem with movies about ; angels is they . have a ? tendency ; to slip ? into hokum .,0
the problem with movies about angels is they have a tendency to slip into hokum .,0
"lazy ? filmmaking , with the director taking a hands-off approach when he should have shaped the story to show ; us why it 's compelling . .",0
"lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story ; to show us why it 's . compelling .",0
"lazy filmmaking , with the director taking a hands-off approach when he should have shaped , the story to ; show ; us why : it ? 's compelling ? .",0
", lazy filmmaking , ! with the director taking ? a . hands-off : approach when he should have shaped the ; story to show us why it 's ; compelling .",0
"lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .",0
". like smoke signals , ! the film ! is also imbued with strong themes of familial ties and spirituality that are powerful ! and moving without stooping to base melodrama",1
". like smoke signals , the film is , also imbued with strong themes of familial ties and spirituality that are powerful : and ? moving , without stooping to base melodrama",1
"like smoke signals , the film is also imbued with ; strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama",1
"like smoke signals , ! the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping : to base . melodrama",1
"like smoke signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama",1
"as with so many merchandised-to-the-max movies of this ; type , more time appears to have gone ; into recruiting ! the : right bands for the ? playlist and the costuming ; of the . stars than into the ; script , which , has a handful of smart , jokes and not much else .",0
"as with so many ! merchandised-to-the-max movies of this ? type , more time appears to have gone into recruiting the right bands for the playlist and , the costuming of the stars than into ! the script , which has a handful of smart jokes and not much else .",0
"as with so many merchandised-to-the-max , movies of ! this type , more time ? appears to ! have gone into : recruiting the right bands for the playlist ! and the costuming ; of the ; stars than into the script , which has ; a handful of , smart jokes and not much else .",0
"as ; with . so many merchandised-to-the-max movies of this type , more time appears to have gone into recruiting the right bands for the playlist and the costuming of the stars than ! into the script , which has a handful of smart jokes : and not much else .",0
"as with so many merchandised-to-the-max movies of this type , more time appears to have gone into recruiting the right bands for the playlist and the costuming of the stars than into the script , which has a handful of smart jokes and not much else .",0
"the film 's images give a backbone . to the company : and ! provide ! an ! emotional , edge to : its ultimate demise .",1
the film 's ! images give a ? backbone to the company ? and provide an emotional edge to ! its ultimate demise .,1
? the film 's images : give ; a backbone to the company and ! provide . an emotional edge : to its ultimate demise .,1
the film 's images give a backbone to : the company and provide an emotional edge to its ultimate demise .,1
the film 's images give a backbone to the company and provide an emotional edge to its ultimate demise .,1
"stuffed to ! the brim with : ideas , american instigator michael moore 's film is a ! rambling examination of american gun culture that uses his usual modus operandi . of crucifixion through juxtaposition .",1
". stuffed to the brim with ideas , ; american ! instigator michael moore 's film is a rambling examination of american ; gun culture that uses his usual : modus operandi of crucifixion through juxtaposition . .",1
"stuffed to the brim with ideas ? , american : instigator michael ; moore 's . film ; is a rambling examination of american gun culture that ! uses his usual modus ; operandi of . crucifixion ? through juxtaposition .",1
"stuffed to the brim ? with ; ideas ? , american instigator : michael moore 's film is a rambling examination of american gun culture , that ; uses his usual modus operandi ? of crucifixion . through juxtaposition .",1
"stuffed to the brim with ideas , american instigator michael moore 's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",1
press the delete key ? .,0
press ? the delete key ! .,0
press the delete key ; .,0
"press the , delete key .",0
press the delete key .,0
"... ; the , kind of entertainment that ! parents love to have their kids see .",1
"... the kind of entertainment that . parents love ; to have their kids , see .",1
"... the , kind of entertainment that parents ! love to ; have , their kids . see .",1
"... the kind of entertainment that ; parents love to have their kids , see .",1
... the kind of entertainment that parents love to have their kids see .,1
"for all its visual panache and compelling supporting characters , the , heart of the film rests in the relationship between sullivan and his son .",1
"for all its visual panache and compelling supporting characters , the heart of the film rests in the relationship between sullivan and his : son .",1
"for all its ! visual panache . and compelling supporting characters , . the heart of the film ! rests in the relationship ! between sullivan and his : son ? .",1
". for ? all its ? visual ; panache and compelling supporting characters , the ; heart of the film ? rests in the relationship between sullivan : and ; his son .",1
"for all its visual panache and compelling supporting characters , the heart of the film rests in the relationship between sullivan and his son .",1
imamura has ! said that warm water under a ? red bridge is ! a poem to the enduring strengths of women ? .,1
"imamura has said that warm water under a red bridge is a poem to , the ? enduring strengths of women .",1
"imamura has said that . warm ; water under ? a red bridge . is a poem to the . enduring , strengths of ! women .",1
"imamura has ; said that warm water under a red : bridge is a ! poem to ? the enduring , strengths of women .",1
imamura has said that warm water under a red bridge is a poem to the enduring strengths of women .,1
"a grating : , emaciated flick .",0
"a : grating , emaciated flick .",0
"a grating : , emaciated ? flick .",0
"a grating , . emaciated ? flick .",0
"a grating , emaciated flick .",0
"it 's plotless , ? shapeless ? -- and yet ! , it ? must be admitted : , not entirely humorless .",0
". it : 's , plotless , shapeless -- and yet , it must be admitted , not entirely humorless .",0
"it 's , plotless , . shapeless -- and , yet ; , it must be , admitted , : not entirely humorless .",0
"! it 's plotless , , shapeless -- . and yet ? , it must be ; admitted , not . entirely humorless .",0
"it 's plotless , shapeless -- and yet , it must be admitted , not entirely humorless .",0
"with a tone as : variable as the cinematography , schaeffer 's film never settles into the ! light-footed enchantment the material needs , and the characters ' quirks and foibles never jell , into charm .",0
"with a tone : as variable as the cinematography , . schaeffer 's film never ! settles into , the light-footed enchantment the , material needs , ? and ! the characters ' : quirks ! and foibles never jell : into charm : .",0
"with a ? tone as variable as the ? cinematography ! , schaeffer 's film , never settles into the light-footed enchantment . the material needs ? , : and the . characters . ' quirks and ? foibles never ; jell into charm .",0
"with a tone as variable as the cinematography , schaeffer 's ; film never settles into the light-footed enchantment the material needs , and the , characters ' quirks and ? foibles never jell into charm .",0
"with a tone as variable as the cinematography , schaeffer 's film never settles into the light-footed enchantment the material needs , and the characters ' quirks and foibles never jell into charm .",0
"a very slow , : uneventful . ride around a pretty ; tattered old ; carousel .",0
"a . very slow , , uneventful ride around a pretty tattered old carousel : .",0
"a very slow , : uneventful ride around a pretty ; tattered old carousel .",0
"a very slow , uneventful ride around a pretty ? tattered old carousel .",0
"a very slow , uneventful ride around a pretty tattered old carousel .",0
? jackson is always watchable .,1
jackson is : always watchable ! .,1
"jackson , is , always watchable .",1
! jackson is always watchable .,1
jackson is always watchable .,1
showtime . is : a fine-looking film with a bouncy score and . a clutch of lively songs for deft punctuation ! .,1
"showtime , is . a fine-looking . film with a bouncy score and a clutch of lively songs for , deft punctuation .",1
", showtime is a fine-looking film with a bouncy score . and a clutch of lively songs for deft punctuation .",1
"showtime is a fine-looking film with a bouncy . score ? and , a clutch ! of lively songs for deft ; punctuation .",1
showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .,1
"! mib ii is a movie that makes it possible : for the viewer to doze off , for a few minutes or make several runs to the concession stand ? and\/or restroom and not feel as if he or she has missed anything .",0
"! mib ii , is : a movie that makes it possible for the viewer to : doze off . for ! a few . minutes or : make several runs to the concession stand and\/or ! restroom and not feel as if : he or she has missed anything .",0
"mib ii is a movie that makes ; it possible for the viewer . to ; doze off for a few minutes , or make several runs ! to the concession , stand and\/or ? restroom and not feel as if . he or she has : missed anything .",0
"? mib , ii is a movie that makes it possible for the viewer to doze ! off ; for , a few minutes , or make several runs to the , concession stand and\/or . restroom ; and ; not feel as ! if ? he ! or she has missed anything .",0
mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and\/or restroom and not feel as if he or she has missed anything .,0
"... bright , , intelligent : , and humanly funny , film .",1
"... bright , intelligent , . and humanly ; funny film .",1
"... bright , intelligent , , and . humanly funny film .",1
"... bright , : intelligent , and : humanly . funny film .",1
"... bright , intelligent , and humanly funny film .",1
? too bad ! kramer could : n't make a ? guest appearance to liven things up ; .,0
too bad kramer could n't make a guest . appearance to : liven ? things up ! .,0
"too bad kramer could n't ? make a ! guest appearance to liven ; things up , .",0
"too ; bad kramer could n't ! make a guest appearance to liven , things , up , .",0
too bad kramer could n't make a guest appearance to liven things up .,0
"300 years of russian history and culture compressed into , an evanescent , seamless and ; sumptuous stream of consciousness .",1
"300 years of , russian history and ! culture compressed into an evanescent . , seamless and sumptuous ! stream : of consciousness .",1
"300 years of russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness , .",1
"! 300 years of russian history ? and culture compressed into ; an evanescent , seamless and sumptuous stream of consciousness .",1
"300 years of russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",1
"the modern remake of : dumas : 's story is , long on ; narrative and ; -lrb- too ? -rrb- short on action .",0
"the ; modern remake of : dumas 's story is , long ? on narrative and -lrb- too -rrb- short on : action .",0
"the modern remake , of ; dumas 's story is long on narrative ? and -lrb- too -rrb- short on action .",0
the modern remake of dumas 's ; story is ; long ; on narrative and -lrb- too -rrb- short . on action .,0
the modern remake of dumas 's story is long on narrative and -lrb- too -rrb- short on action .,0
"seagal is : painfully foolish in trying to hold onto what 's left of his passe ' chopsocky , glory .",0
"seagal is painfully . foolish in , trying to ; hold onto , what 's : left of . his passe ' chopsocky glory .",0
seagal is : painfully foolish in trying to hold onto what 's left of ; his passe ' chopsocky glory .,0
", seagal ; is painfully foolish in trying to hold onto what 's left : of . his passe ! ' chopsocky , glory .",0
seagal is painfully foolish in trying to hold onto what 's left of his passe ' chopsocky glory .,0
"the ! enjoyable undercover , brother , a zany mix : of , saturday night live-style parody , '70s blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that . everyone can enjoy . .",1
"the enjoyable undercover brother : , a zany mix of saturday night ; live-style parody , , '70s ; blaxploitation : films : and goofball action , comedy gone ! wild , ! dishes out a ton of laughs ; that everyone can enjoy .",1
"the enjoyable undercover , brother , a zany mix of saturday night live-style parody , '70s blaxploitation films and goofball action comedy : gone wild , ; dishes out a ton of laughs that everyone can : enjoy .",1
"the enjoyable undercover brother , a zany mix . of saturday night live-style ; parody , , '70s , blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy .",1
